Tree,Node,ID,Feature,FeatureName,Split,Yes,No,Missing,Gain,Cover,LeafValue
0,0,0-0,f0,EMG_consensus_PKF_range,39.0625,1,2,2,6.7606349,20,
0,1,0-1,f0,EMG_consensus_PKF_range,15.625,3,4,4,6.25903845,14.75,
0,3,0-3,Leaf,Leaf,,,,,,8.5,-0.0210526325
0,4,0-4,Leaf,Leaf,,,,,,6.25,0.103448272
0,2,0-2,f1,EMG_consensus_ZC_max,0.280000001,5,6,6,3.22666645,5.25,
0,5,0-5,Leaf,Leaf,,,,,,2.5,-0.0
0,6,0-6,Leaf,Leaf,,,,,,2.75,-0.146666676
1,0,1-0,f0,EMG_consensus_PKF_range,39.0625,1,2,2,5.77706861,19.9676304,
1,1,1-1,f0,EMG_consensus_PKF_range,5.859375,3,4,4,5.47176027,14.7323675,
1,3,1-3,Leaf,Leaf,,,,,,3.49961233,-0.065034911
1,4,1-4,Leaf,Leaf,,,,,,11.2327547,0.0650653467
1,2,1-2,f1,EMG_consensus_ZC_max,0.280000001,5,6,6,2.78906918,5.23526382,
1,5,1-5,Leaf,Leaf,,,,,,2.5,-0.0
1,6,1-6,Leaf,Leaf,,,,,,2.73526382,-0.136466607
2,0,2-0,f0,EMG_consensus_PKF_range,39.0625,1,2,2,4.91149855,19.8925571,
2,1,2-1,f0,EMG_consensus_PKF_range,15.625,3,4,4,4.85257816,14.6969414,
2,3,2-3,Leaf,Leaf,,,,,,8.49110222,-0.0202179663
2,4,2-4,Leaf,Leaf,,,,,,6.20583916,0.0895006731
2,2,2-2,f1,EMG_consensus_ZC_max,0.280000001,5,6,6,2.43924975,5.19561481,
2,5,2-5,Leaf,Leaf,,,,,,2.5,-0.0
2,6,2-6,Leaf,Leaf,,,,,,2.69561481,-0.127896011
3,0,3-0,f0,EMG_consensus_PKF_range,39.0625,1,2,2,4.2318306,19.773592,
3,1,3-1,f0,EMG_consensus_PKF_range,5.859375,3,4,4,4.21907568,14.636548,
3,3,3-3,Leaf,Leaf,,,,,,3.49013019,-0.0585346185
3,4,3-4,Leaf,Leaf,,,,,,11.1464176,0.0557969473
3,2,3-2,f1,EMG_consensus_ZC_max,0.280000001,5,6,6,2.15394497,5.13704443,
3,5,3-5,Leaf,Leaf,,,,,,2.5,-0.0
3,6,3-6,Leaf,Leaf,,,,,,2.63704419,-0.120573714
4,0,4-0,f0,EMG_consensus_PKF_range,39.0625,1,2,2,3.62293339,19.6315498,
4,1,4-1,f0,EMG_consensus_PKF_range,15.625,3,4,4,3.80215311,14.5670404,
4,3,4-3,Leaf,Leaf,,,,,,8.46842098,-0.0192440785
4,4,4-4,Leaf,Leaf,,,,,,6.09861946,0.0782492682
4,2,4-2,f1,EMG_consensus_ZC_max,0.280000001,5,6,6,1.91720819,5.06450891,
4,5,4-5,Leaf,Leaf,,,,,,2.5,-0.0
4,6,4-6,Leaf,Leaf,,,,,,2.56450915,-0.114225388
5,0,5-0,f0,EMG_consensus_PKF_range,39.0625,1,2,2,3.14232588,19.4638786,
5,1,5-1,f1,EMG_consensus_ZC_max,0.287999988,3,4,4,3.6583612,14.4818134,
5,3,5-3,Leaf,Leaf,,,,,,12.5220661,-0.0014210887
5,4,5-4,Leaf,Leaf,,,,,,1.95974708,0.122089148
5,2,5-2,f1,EMG_consensus_ZC_max,0.280000001,5,6,6,1.71782207,4.98206425,
5,5,5-5,Leaf,Leaf,,,,,,2.5,-0.0
5,6,5-6,Leaf,Leaf,,,,,,2.48206449,-0.108649127
6,0,6-0,f0,EMG_consensus_PKF_range,39.0625,1,2,2,2.7588985,19.3464756,
6,1,6-1,f1,EMG_consensus_ZC_max,0.287999988,3,4,4,3.22833204,14.4534845,
6,3,6-3,Leaf,Leaf,,,,,,12.5232124,-0.00128938386
6,4,6-4,Leaf,Leaf,,,,,,1.93027258,0.115208723
6,2,6-2,f1,EMG_consensus_ZC_max,0.280000001,5,6,6,1.5477109,4.89299154,
6,5,6-5,Leaf,Leaf,,,,,,2.5,-0.0
6,6,6-6,Leaf,Leaf,,,,,,2.39299178,-0.103693478
7,0,7-0,f0,EMG_consensus_PKF_range,39.0625,1,2,2,2.42827606,19.2147789,
7,1,7-1,f0,EMG_consensus_PKF_range,15.625,3,4,4,3.19769764,14.4148607,
7,3,7-3,Leaf,Leaf,,,,,,8.45174026,-0.0198319815
7,4,7-4,Leaf,Leaf,,,,,,5.96311998,0.0699682608
7,2,7-2,f1,EMG_consensus_ZC_max,0.280000001,5,6,6,1.40094531,4.79991817,
7,5,7-5,Leaf,Leaf,,,,,,2.5,-0.0
7,6,7-6,Leaf,Leaf,,,,,,2.29991794,-0.0992430076
8,0,8-0,f0,EMG_consensus_PKF_range,39.0625,1,2,2,2.12160373,19.0242081,
8,1,8-1,f0,EMG_consensus_PKF_range,5.859375,3,4,4,2.91717005,14.3192835,
8,3,8-3,Leaf,Leaf,,,,,,3.46548629,-0.0523837097
8,4,8-4,Leaf,Leaf,,,,,,10.8537979,0.0429420285
8,2,8-2,f1,EMG_consensus_ZC_max,0.280000001,5,6,6,1.27309012,4.70492315,
8,5,8-5,Leaf,Leaf,,,,,,2.5,-0.0
8,6,8-6,Leaf,Leaf,,,,,,2.20492339,-0.0952084884
9,0,9-0,f0,EMG_consensus_PKF_range,39.0625,1,2,2,1.83650768,18.8361492,
9,1,9-1,f1,EMG_consensus_ZC_max,0.287999988,3,4,4,2.8977294,14.2265158,
9,3,9-3,Leaf,Leaf,,,,,,12.3715162,-0.00440247636
9,4,9-4,Leaf,Leaf,,,,,,1.85499954,0.107049346
9,2,9-2,f1,EMG_consensus_ZC_max,0.280000001,5,6,6,1.16077471,4.60963345,
9,5,9-5,Leaf,Leaf,,,,,,2.5,-0.0
9,6,9-6,Leaf,Leaf,,,,,,2.10963321,-0.0915201232
